T09;Public expenditure on education (as of 2021);;;
626;Timor-Leste;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);52.5
626;Timor-Leste;2010;All staff compensation as % of total expenditure in public institutions (%);37.8
626;Timor-Leste;2010;Capital expenditure as % of total expenditure in public institutions (%);9.7
626;Timor-Leste;2010;Public expenditure on education (% of GDP);11.1
626;Timor-Leste;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);46.4
626;Timor-Leste;2014;All staff compensation as % of total expenditure in public institutions (%);49.5
626;Timor-Leste;2014;Capital expenditure as % of total expenditure in public institutions (%);4.0
626;Timor-Leste;2014;Public expenditure on education (% of GDP);7.7
626;Timor-Leste;2015;Public expenditure on education (% of GDP);6.3
626;Timor-Leste;2021;Public expenditure on education (% of GDP);5.5
768;Togo;2005;Public expenditure on education (% of GDP);3.2
768;Togo;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.7
768;Togo;2010;All staff compensation as % of total expenditure in public institutions (%);74.7
768;Togo;2010;Capital expenditure as % of total expenditure in public institutions (%);10.6
768;Togo;2010;Public expenditure on education (% of GDP);4.1
768;Togo;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);7.0
768;Togo;2015;All staff compensation as % of total expenditure in public institutions (%);90.5
768;Togo;2015;Capital expenditure as % of total expenditure in public institutions (%);2.5
768;Togo;2015;Public expenditure on education (% of GDP);5.1
768;Togo;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);7.1
768;Togo;2016;All staff compensation as % of total expenditure in public institutions (%);90.5
768;Togo;2016;Capital expenditure as % of total expenditure in public institutions (%);2.4
768;Togo;2016;Public expenditure on education (% of GDP);3.7
768;Togo;2021;Basic access to computers by level of education: Primary;2.6
768;Togo;2021;Basic access to computers by level of education: Lower secondary;29
768;Togo;2021;Basic access to computers by level of education: Upper secondary;44
768;Togo;2021;Public expenditure on education (% of GDP);4.2
772;Tokelau;2021;Basic access to computers by level of education: Primary;100.0
772;Tokelau;2021;Basic access to computers by level of education: Lower secondary;100
772;Tokelau;2021;Basic access to computers by level of education: Upper secondary;100
776;Tonga;2004;Public expenditure on education (% of GDP);3.9
776;Tonga;2020;Basic access to computers by level of education: Primary;44.3
776;Tonga;2020;Basic access to computers by level of education: Lower secondary;93
776;Tonga;2020;Basic access to computers by level of education: Upper secondary;100
776;Tonga;2020;Public expenditure on education (% of GDP);6.5
776;Tonga;2021;Public expenditure on education (% of GDP);6.6
780;Trinidad and Tobago;2003;Public expenditure on education (% of GDP);3.1
780;Trinidad and Tobago;2015;Public expenditure on education (% of GDP);3.4
780;Trinidad and Tobago;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);37.2
780;Trinidad and Tobago;2021;All staff compensation as % of total expenditure in public institutions (%);56.3
780;Trinidad and Tobago;2021;Capital expenditure as % of total expenditure in public institutions (%);6.5
780;Trinidad and Tobago;2021;Public expenditure on education (% of GDP);3.0
788;Tunisia;2005;Public expenditure on education (% of GDP);6.5
788;Tunisia;2010;Capital expenditure as % of total expenditure in public institutions (%);10.4
788;Tunisia;2010;Public expenditure on education (% of GDP);6.0
788;Tunisia;2015;Public expenditure on education (% of GDP);6.2
788;Tunisia;2021;Basic access to computers by level of education: Primary;96.8
788;Tunisia;2021;Basic access to computers by level of education: Lower secondary;100
788;Tunisia;2021;Basic access to computers by level of education: Upper secondary;100
792;T¸rkiye;2010;Public expenditure on education (% of GDP);3.8
792;T¸rkiye;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.2
792;T¸rkiye;2015;All staff compensation as % of total expenditure in public institutions (%);68.0
792;T¸rkiye;2015;Capital expenditure as % of total expenditure in public institutions (%);15.8
792;T¸rkiye;2015;Basic access to computers by level of education: Primary;35.1
792;T¸rkiye;2015;Public expenditure on education (% of GDP);4.3
792;T¸rkiye;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.9
792;T¸rkiye;2019;All staff compensation as % of total expenditure in public institutions (%);72.1
792;T¸rkiye;2019;Capital expenditure as % of total expenditure in public institutions (%);9.0
792;T¸rkiye;2019;Basic access to computers by level of education: Primary;94.3
792;T¸rkiye;2019;Public expenditure on education (% of GDP);4.5
792;T¸rkiye;2020;Public expenditure on education (% of GDP);3.4
795;Turkmenistan;2012;Capital expenditure as % of total expenditure in public institutions (%);33.7
795;Turkmenistan;2012;Public expenditure on education (% of GDP);3.0
795;Turkmenistan;2019;Basic access to computers by level of education: Primary;99.2
795;Turkmenistan;2019;Basic access to computers by level of education: Lower secondary;99
795;Turkmenistan;2019;Basic access to computers by level of education: Upper secondary;99
795;Turkmenistan;2019;Public expenditure on education (% of GDP);3.1
795;Turkmenistan;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.7
795;Turkmenistan;2020;All staff compensation as % of total expenditure in public institutions (%);84.8
795;Turkmenistan;2020;Capital expenditure as % of total expenditure in public institutions (%);2.5
795;Turkmenistan;2020;Basic access to computers by level of education: Primary;97.6
795;Turkmenistan;2020;Basic access to computers by level of education: Lower secondary;98
795;Turkmenistan;2020;Basic access to computers by level of education: Upper secondary;98
795;Turkmenistan;2021;Basic access to computers by level of education: Primary;99.4
795;Turkmenistan;2021;Basic access to computers by level of education: Lower secondary;99
795;Turkmenistan;2021;Basic access to computers by level of education: Upper secondary;99
796;Turks and Caicos Islands;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.7
796;Turks and Caicos Islands;2005;All staff compensation as % of total expenditure in public institutions (%);69.5
796;Turks and Caicos Islands;2005;Capital expenditure as % of total expenditure in public institutions (%);16.8
796;Turks and Caicos Islands;2005;Public expenditure on education (% of GDP);2.5
796;Turks and Caicos Islands;2010;Basic access to computers by level of education: Primary;100.0
796;Turks and Caicos Islands;2010;Basic access to computers by level of education: Lower secondary;100
796;Turks and Caicos Islands;2010;Basic access to computers by level of education: Upper secondary;100
796;Turks and Caicos Islands;2015;Capital expenditure as % of total expenditure in public institutions (%);17.6
796;Turks and Caicos Islands;2015;Public expenditure on education (% of GDP);3.1
796;Turks and Caicos Islands;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.5
796;Turks and Caicos Islands;2018;All staff compensation as % of total expenditure in public institutions (%);74.6
796;Turks and Caicos Islands;2018;Capital expenditure as % of total expenditure in public institutions (%);18.8
796;Turks and Caicos Islands;2018;Basic access to computers by level of education: Primary;96.6
796;Turks and Caicos Islands;2018;Basic access to computers by level of education: Lower secondary;85
796;Turks and Caicos Islands;2018;Basic access to computers by level of education: Upper secondary;85
796;Turks and Caicos Islands;2018;Public expenditure on education (% of GDP);2.7
796;Turks and Caicos Islands;2020;Basic access to computers by level of education: Upper secondary;83
